pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
25911`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/DISTRICT-ASPHALT-SUPVSR_8257.pdf`Success`Success`3`3`Not a fillable PDF.`   Code:  8257  Family: Construction, Maintenance, and Skilled Labor  Service: Operation and Construction     Group: Street, Water, Sewer, and Disposal  Series: Street Maintenance and Construction         CLASS TITLE:  DISTRICT ASPHALT SUPERVISOR   CHARACTERISTICS OF THE CLASS         Under general supervision, positions report to a General Foreman of Laborers; direct work  operations within an assigned district, supervising multiple crews and monitoring work operations  relating to the spreading, finishing and compacting of asphalt for the re-surfacing and repair of City  residential streets and alleys and related asphalt work, and performs related duties as required         ESSENTIAL DUTIES   	  Oversees day to day field work operations including the preparation of surface areas (e.g.     grinding) and the spreading, finishing and compacting of asphalt for the pavement, re-surfacing  and repair of residential streets and alleys    	  Supervises Asphalt Foreman and their work crews,  resolving operational problems and      ensuring work crews receive timely delivery of asphalt and other required resources and   equipment (e.g. grinders, pavers, rollers) to efficiently complete work projects      	  Monitors and directs the work operations of specialized crews installing alley humps, street     speed humps, alley key cuts, ADA ramps and related jobs  Inspects work sites and monitors work in progress to assess and ensure compliance with  established work  procedures, safety practices and quality standards        	   	  Responds to incidents and troubleshoots problems at job sites, working with managers, vendors     and crew foremen in resolving problems delaying or preventing the completion of jobs         	  Reviews daily manpower reports and equipment resources and works with supervisor in re-    allocating personnel to ensure adequate manning of crews and efficiency of operations     	  Confers with asphalt vendors and management to schedule, monitor and track the timely     delivery of hot asphalt from  plants to work sites     	  Monitors the ordering and delivery of asphalt and additional supplies to complete the job    	  Monitors and evaluates work performance of subordinate staff;  addresses performance issues;     and initiates and enforces disciplinary actions as required    	  Responds to complaints of poor quality or inadequate work of asphalt crews in the pavement,     re-surfacing or repair of streets and alleys, inspects completed jobs and takes proper actions to  correct problems   	  Reviews accident and injury reports and conducts required follow-up     	  Prepares management reports on completed asphalt work projects, status of planned and     scheduled projects and related productivity and performance reports        NOTE:	  The list of essential duties is not intended to be inclusive; there may be other duties that are      essential to particular positions within the class.         MINIMUM QUALIFICATIONS   Education, Training, and Experience    	  Four years of work experience in the paving and repair of street surfaces using asphalt     materials and/or related asphalt equipment of which two years are in a supervisory role related  to the responsibilities of the position     CODE:  8257  CLASS TITLE:  DISTRICT  ASPHALT SUPERVISOR      Licensure, Certification, or Other Qualifications        	  A valid State of Illinois driver’s license is required.  WORKING CONDITIONS      Exposure to outdoor weather conditions       Exposure to loud noise, fumes or dust       Exposure to hazardous conditions (e.g., traffic, heavy machinery)          EQUIPMENT         Standard office equipment (e.g. telephone, printer, photocopier, fax machine)       Computer and peripheral equipment (e.g. personal computer, computer terminals)       Personal protective equipment (e.g., hard hat, shoes, glasses, gloves, vest)         Safety devices or equipment (e.g., cones, barricades, metal plates, scaffolding, ropes)     Two-way radio         PHYSICAL REQUIREMENTS   	  Ability to stand and walk for extended or continuous periods of time        KNOWLEDGE, SKILLS, ABILITIES, AND OTHER WORK REQUIREMENTS   Knowledge    Considerable knowledge of:                   *use of street surface repair equipment and materials  *applicable safety principals, methods, practices, and procedures specific to asphalt work  *use of safety equipment and protective gear   *applicable safety and code standards specific to street paving and resurfacing, including OSHA  standards    Some knowledge of:     Personal computer operations and applicable software        *management and supervisory methods and practices            geographical locations within the City          Knowledge of applicable City and department policies, procedures, rules, and regulations   Skills    	  ACTIVE LISTENING - Give full attention to what other people are saying, taking time to        understand the points being made, ask questions as appropriate, and not interrupt at   inappropriate times    	  CRITICAL THINKING - Use logic and reasoning to identify the strengths and weaknesses of     alternative solutions, conclusions, or approaches to problems   	  TIME MANAGEMENT - Manage one's own time and the time of others    	  COORDINATION WITH OTHERS - Adjust actions in relation to others' actions           Page 2 of 3       CODE:  8257  CLASS TITLE:  DISTRICT  ASPHALT SUPERVISOR      	  JUDGEMENT AND DECISION MAKING - Consider the relative costs and benefits of potential   actions to choose the most appropriate one     	  EQUIPMENT SELECTION - Determine the kind of tools and equipment needed to do a job        Abilities    	  COMPREHEND ORAL INFORMATION - Listen to and understand information and ideas     presented through spoken words and sentences     	  SPEAK - Communicate information and ideas in speaking so others will understand    	  COMPREHEND WRITTEN INFORMATION - Read and understand information and ideas   presented in writing     	  WRITE - Communicate information and ideas in writing so others will understand    	  REASON TO SOLVE PROBLEMS - Apply general rules to specific problems to produce   answers that make sense     	  WORK WITH NUMBERS - Add, subtract, multiply, or divide quickly and correctly   INITIATIVE – Demonstrate willingness to take on job challenges    Other Work Requirements      	  	  LEADERSHIP - Demonstrate willingness to lead, take charge, and offer opinions and direction    	  DEPENDABILITY - Demonstrate reliability, responsibility, and dependability and fulfill       obligations   	  ATTENTION TO DETAIL - Pay careful attention to detail and thoroughness in completing work     tasks   	  ANALYTICAL THINKING – Analyze information and use logic to address work or job issues and     problems            All employees of the City of Chicago must demonstrate commitment to and compliance with applicable  state and federal laws, and City ordinances and rules; the City’s Ethics standards; and other City  policies and procedures.    The City of Chicago will consider equivalent foreign degrees, accreditations, and credentials in    evaluating qualifications.    * May be required at entry.               City of Chicago  Department of Human Resources        Date:  April, 2012        Page 3 of 3     
14966`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/06reports/T_145_73rdUniversityAR06.pdf`Success`Failed`53`10`Fillable Check: Failed`
9619`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_004_CornerstoneCDC.pdf`Success`Failed`35`10`Not a fillable PDF.`
11893`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_082_CiceroGeorgeElderlyHousingCDCPAR.pdf`Success`Success`1`1`Fillable PDF.`TIF PROJECT SCORECARD  Developer:  Timeline for Completion: Project Status:            Type of Project:  Total Project Cost: TIF Funding Request: TIF District:  RETURN ON INVESTMENT BENCHMARKS  Advances Goal of Economic Development Plan YES or NO                                                                                             Jobs Created/Retained  Advances Goal of TIF District   YES or NO                                                      Addresses Community Need    YES or NO                                                              Affordable Housing Units Created/Preserved  Return on Investment to City  Other Funds Leveraged by $1 of TIF  Financing Structure  FINANCIAL BENCHMARKS  Types of Other Funding Leveraged     YES or NO                                                                                               Payment Schedule:  Monitoring Term of Agreement:  RDA TERMS  Taxpayer Protection Provisions   YES or NO                                                                       OTHER CONSIDERATIONS  
649`https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/Building Code/6TypesofConst2311.pdf`Success`Failed`2`2`Fillable Check: Failed`
13104`https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/planofoperation5101sashland.pdf`Success`Failed`3`3`Not a fillable PDF.`
9562`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_117_BishopPlazaCDC.pdf`Success`Failed`16`10`Not a fillable PDF.`
13159`https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/823825southstatestreet.pdf`Success`Success`5`5`Not a fillable PDF.`
15344`https://www.cityofchicago.org/dam/city/depts/dcd/tif/08reports/T_109_LawrenceBroadwayAR.pdf`Success`Failed`41`10`Fillable Check: Failed`
5749`https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2007JOC/2007_MarchJOC/9534_67.pdf`Success`Success`6`6`Not a fillable PDF.`
26379`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/RESIDENT-SERVICES-COORD-I_3078.pdf`Success`Success`2`2`Not a fillable PDF.`Code:  3078 Health and Welfare Service Medical and Social Service Group Human Relations Series  CLASS TITLE:  Resident Services Coordinator I    CHARACTERISTICS OF THE CLASS:  Under supervision, the class makes field visits to senior residential buildings to identify residents  who appear to meet established definitions of frailty and assesses  and coordinates needed services; and performs related duties as required.   ESSENTIAL DUTIES:  Works with senior citizens to establish and maintain linkages to needed supportive service agencies in order to maintain their independent living status; conducts needs assessments and develops and implements client service plans based on results of needs assessments; works with service providers to ensure clients’ needs are met; maintains regular contact with clients and service providers to monitor the delivery of services; provides information on Medicare, Medicaid and supportive services to clients; provides general assistance and functions as an advocate on behalf of clients; works with the resident council to develop and implement activities of interest and value to the residents and monitors program participation and effectiveness; meets regularly with the Chicago Housing Authority or private management company to provide information, resolve problems and coordinate services; acts as a liaison with local care providers and hospitals to ensure successful discharge and transition of residents from care facilities to their apartments.  RELATED DUTIES:  Works with residents and their families when planning for relocation to a nursing home or other long-term care facilities; provides assistance in the resolution of inter-resident conflicts and resident-family difficulties.   MINIMUM QUALIFICATIONS:  Training and Experience.  Graduation from an accredited college or university with a Bachelor’s degree in the Social Sciences supplemented by two years of progressively responsible social service experience, or an equivalent combination of training and experience, provided the minimum degree requirement is met.  Knowledge, Abilities and Skill.  Good knowledge of the principles of sociology.  Good knowledge of casework methods and practices.  Good knowledge of family counseling techniques.  Good knowledge of social services resources.   Code:  3078 Health and Welfare Service Medical and Social Service Group Human Relations Series  CLASS TITLE:  Resident Services Coordinator I (cont’d)  Ability to establish linkages and coordinate services with social  service agencies.  Ability to advocate on behalf of seniors to ensure they receive needed residential and social service assistance.  Ability to write reports and maintain records of cases handled. Ability to develop programs and activities of interest to the elderly.  Ability to drive.  Ability to access multi-level facilities.    Skill in conducting social services needs assessments.  Skill in working with social service clients.  Good oral and written communication skills.  Good human relations skills.     Working Conditions.  Exposure to inclement weather and extreme temperatures.   Equipment.  Standard office equipment including personal computers.  NOTE:  While the list of essential duties is intended to be as inclusive as possible, there may be other duties which are essential to particular positions within the class.   June, 2002 City of Chicago Department of Personnel (Minimum Qualifications revised June, 2005)  
22202`https://www.cityofchicago.org/content/dam/city/depts/dcd/ssa/2016SPA/SSA01-2015SPA2016_Redacted.pdf`Success`Failed`81`10`Not a fillable PDF.`
7159`https://www.cityofchicago.org/content/dam/city/depts/cchr/DataPortalDocs/05E115Oct202010.pdf`Success`Failed`43`10`Not a fillable PDF.`
23233`https://www.cityofchicago.org/content/dam/city/depts/ethics/general/FIS-IndependentContractors/carney-angeline-17-ic.pdf`Success`Success`2`2`Not a fillable PDF.`
4792`https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_JanuaryJOC/T26463R212.pdf`Success`Success`6`6`Not a fillable PDF.`
15651`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/09reports/T_052_KinzieAR09.pdf`Success`Failed`42`10`Fillable Check: Failed`
14659`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_113_RoselandMichigan_10YR.pdf`Success`Failed`20`10`Not a fillable PDF.`
25561`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/AIRPORT_MANAGER_OHARE_7015.pdf`Success`Failed`4`4`Not a fillable PDF.`
