pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
5041`https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_SeptemberJOC/8866_21.pdf`Success`Failed``10`Fillable Check: Failed`
27487`https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionmarch202004/Lot097.pdf`Success`Success`3`3`Not a fillable PDF.`
15224`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/07reports/T_093_SouthChicagoAR07.pdf`Success`Failed`41`10`Fillable Check: Failed`
11013`https://www.cityofchicago.org/dam/city/depts/ethics/general/AO_PostEmploy/00024.A.pdf`Success`Failed`9`9`Not a fillable PDF.`
6438`https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2008PreBids/PreBid61870.pdf`Success`Success`2`2`Not a fillable PDF.`Department of Procurement Services - City of Chicago  PRE-BID CONFERENCE ATTENDEE REGISTER  Page 1 of 1  Project Name: Systems for Chicago Airport System  Removal and Replacement of Roofing  Contract Administrator: Richard Sanchez  Specification: 61870  Lead Department: Department of Aviation  Conference Date: February 1, 2008  Conference Location: ORD, Bldg. 500 Conf. Rm. 2  Attendee Name  Company  Address  Richard Sanchez  Dorothy Izewski  David Bowman  James Hankin  Lyle Schachter  Barry Ruliffson  Dave Noonan  Telephone No./  Fax No./  e-mail address  312-744-8212 312-742-8455  richard.sanchez@cityofchicago.org  City of Chicago  Department of Procurement Services  30 N. LaSalle, 9th Flr. Chicago IL, 60602  City of Chicago  Department of Aviation  City of Chicago  Department of Aviation  City of Chicago  Department of Aviation  Alco Construction  Anthony Roofing  Riddiford Roofing  10510 West Zemke Rd.  773-686-7271  Chicago, IL 60666  dorothyizewski@cityofchicago.org  10510 West Zemke Rd.  Chicago IL, 60666  10510 West Zemke Rd.  Chicago IL, 60666  3608 N. Milwaukee Ave.  Chicago, IL 60641  2555 White Oak Circle  Aurora, IL 60502 2333 Hamilton Rd.  Arlington Heights, IL 60005  773-686-7089 773-686-6235  AV00289@cityofchicago.org  773-686-3541  jhankin@cityofchicago.org  773-282-9090  630-898-4444  847-437-5771  Department of Procurement Services - City of Chicago  PRE-BID CONFERENCE ATTENDEE REGISTER  Attendee Name  Company  Address  Jay Tulley  Bob Zitek  Riddiford Roofing  F.H. Paschen  Gerardo Morales  L. Marshall Roofing  Jim Muerhead  Rob Bajarunas  Chris Eheart  Don Brad  Glenbrook Roofing  BCI Roofing  Bennett & Brosseau Roofing, Inc.  DEG Roofing  Lyle Schachter  Lorsch Construction & Development  Joe Cutro  Knickerbocker Roofing and Paving Co.Inc.  2333 Hamilton Rd.  Arlington Heights, IL 60005  8725 W. Higgins Rd. Chicago, IL 60631 2100 Lehigh Ave. Glenview, IL 60026 3000 Dundee Rd.  Northbrook, IL 60062 3062 W. 167th Street Markham, IL 60428 1316 Marquette Dr. Romeoville, IL 60446  3608 N. Milwaukee Ave.  Chicago, IL 60648  16328 S. Lathrop Ave.  Harvey, IL 60426  Page 2 of 1  Telephone No./  Fax No./  e-mail address  847-437-5771  773-444-3474  847-724-5400  847-498-5986  708-339-3106  630-759-0009  847-296-4603  773-794-8000  708-339-7260  
7728`https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2012JOC/15035rel47.pdf`Success`Success`9`9`Not a fillable PDF.`
17687`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/HealthWelfare/3400_Public_Health_Series/3493_OPERATIONS_MANAGER_ANIMAL_CONTROL.pdf`Success`Failed`3`3`Not a fillable PDF.`
3399`https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2002BidTabs/Mar/B20555706.3.29.02.pdf`Success`Success`1`1`Not a fillable PDF.`BID TABULATION                                                                 TARGET MARKET PROGRAM Specification Number:B2-05557-06                                                   Date: March 29, 2002                     Project Description: Replacement Parts and Modules for Whelen Engineering Strobe Type Automotive                                    Light Bars    Bid Deposit:                                   Addendum __1 __2 __3 __4                           Contract Administrator: O. Brown  NAME OF BIDDER  RAY O’HERRON CO., INC.  CREATIVE LIGHTING PRODUCTS, INC.  CHICAGO UNITED INDUSTRIES, LTD.  PROGRESSIVE INDUSTRIES  TOTAL BID  $333,000.00  $379,050.00  $366,294.45  $344,100.00             Bids are subject to review for completeness accuracy and compliance with all terms and conditions provided in the bid specifications. City of Chicago    City of Chicago    Richard M. Daley, Mayor Richard M. Daley, Mayor  Department of Procurement Services Department of Procurement Services  David E. Malone Chief Procurement Officer  David E. Malone Chief Procurement Officer         
10196`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/Administrative/1400_Planning_Series/1430_POLICY_ANALYST.pdf`Success`Failed`3`3`Not a fillable PDF.`
2645`https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2001BidTabs/Feb/B02007208.2.21.01.pdf`Success`Success`1`1`Not a fillable PDF.`                     BID TABULATION  Specification Number: B0-20072-08                                                            Date: February 21, 2001         Project Description: Uniforms/Services and/or Accessories For Fire and Police Communications Operators  Bid Deposit: $ NONE            Addendum __1 __2 __3 __4                         Contract Administrator: J. Devon    Name of Bidder  Kale Uniforms  TOTAL BID  $415,335.00  Bids are subject to review for completeness accuracy and compliance with all the terms and conditions provided in the bid specifications. City of Chicago    Richard M. Daley, Mayor  Department of Procurement Services David E. Malone Chief Procurement Officer   
22374`https://www.cityofchicago.org/content/dam/city/depts/dcd/ssa/SSA2011/SSA24Adt11.pdf`Success`Success`15`10`Not a fillable PDF.`
19703`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_130_KinsburyLarrabeeRiverVillageRDA.pdf`Success`Failed`73`10`Not a fillable PDF.`
24183`https://www.cityofchicago.org/content/dam/city/depts/bacp/ordinances/sharedhousingordinanceversionfinal.pdf`Success`Failed`58`10`Not a fillable PDF.`
11936`https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Benefits/Bulletins/BenefitsBulletinOct2014.pdf`Success`Failed`4`4`Not a fillable PDF.`
21999`https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2014constructionRpts/September/20140916_Meade_Marmora_36w.pdf`Success`Failed`6`6`Not a fillable PDF.`
18707`https://www.cityofchicago.org/content/dam/city/depts/doit/general/contractor_reports/2015/09_September2015.pdf`Success`Failed`187`10`Not a fillable PDF.`
