pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
18755`https://www.cityofchicago.org/content/dam/city/depts/doit/general/contractor_reports/2011/09_September2011.pdf`Success`Failed`220`10`Not a fillable PDF.`
10226`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/Administrative/1600_Real_Estate_And_Legal_Series/1602_SR_LAND_ACQUISITION_DISPOSITION_OFFICER.pdf`Success`Success`3`3`Not a fillable PDF.`Code:  1602  Family: Planning and Urban Development    Service: Administrative Service   Group: Statistical, Technical and Analytical Group   Series: Real Estate and Legal Series     CLASS TITLE: SENIOR LAND ACQUISITION/DISPOSITION OFFICER  CHARACTERISTICS OF THE CLASS      Under general supervision, performs at the fully functional level where positions work independently  in the acquisition and/or disposition of City-owned property, and performs other duties as required      ESSENTIAL DUTIES   •  Participates in the acquisition and/or disposition of City-owned property, ensuring compliance   with City ordinances and state regulations   •  Orders title searches of sites being considered for acquisition and disposition  •  Assigns appraisers to evaluate and determine the fair market value of property to be bought or   sold   •  Selects surveyors to provide certified plats of land and areas surrounding designated properties  •  Drafts newspaper advertisements in order to publicize the availability of City-owned property  •  Prepares and files legal documents needed to sell or purchase property  •  Participates in the preparation of ordinances required to dispose of or purchase City property  •  Reviews invoices to ensure appropriateness of charges for contracted services and forwards for   payment   •  Updates and maintains property related data in the Land Inventory System (LIS) and tax exempt   status records for conveyed and sold parcels of land   •  Responds to inquiries from managers, vendors, and operating departments concerning City-  owned property   •  Conducts site inspections of property to be bought or sold, as required  •  Testifies at City Council proceedings regarding proposed acquisitions and dispositions of   property, as required    NOTE:  The list of essential duties is not intended to be inclusive; there may be other duties that are   essential to particular positions within the class.        MINIMUM QUALIFICATIONS   Education, Training, and Experience  •  Four years of experience in the acquisition and/or disposition of real estate property; or an   equivalent combination of education, training, and experience   Licensure, Certification, or Other Qualifications  •  None      WORKING CONDITIONS   •  General office environment      EQUIPMENT   •  Standard office equipment (e.g., telephone, printer, photocopier, fax machine, calculator)   CODE:  1602  CLASS TITLE: SENIOR LAND ACQUISITION/DISPOSITION OFFICER      •  Computers and peripheral equipment (e.g., personal computer, computer terminals, hand-held   computer, scanner)      PHYSICAL REQUIREMENTS   •  No specific requirements      KNOWLEDGE, SKILLS, ABILITIES, AND OTHER WORK REQUIREMENTS   *practices and procedures of land/property acquisition, development, and disposition  *property appraisals, surveys, and title searches  *applicable computer software packages and applications   generally accepted real estate principles, practices, and procedures   Knowledge  Moderate knowledge of:  •  •  •  •  Some knowledge of:  •  •  database management, including data analysis and report preparation and writing  •  applicable federal, state, and local laws, regulations, and guidelines   •  Knowledge of applicable City and department policies, procedures, rules, and regulations   real estate trends and fair market value of City-owned property   *applicable mathematical principles and applications         Skills  •   *ACTIVE LEARNING - Understand the implications of new information for both current and  future problem-solving and decision-making  *ACTIVE LISTENING - Give full attention to what other people are saying, taking time to  understand the points being made, ask questions as appropriate, and not interrupt at  inappropriate times  *COMPLEX PROBLEM SOLVING - Identify complex problems and review related information to  develop and evaluate options and implement solutions   •   •   Other skills as required for successful performance in the Land Acquisition/Disposition Officer class    Abilities  •  COMPREHEND ORAL INFORMATION - Listen to and understand information and ideas   presented through spoken words and sentences   •  SPEAK - Communicate information and ideas in speaking so others will understand  •  COMPREHEND WRITTEN INFORMATION - Read and understand information and ideas   presented in writing   •  WRITE - Communicate information and ideas in writing so others will understand  •  WORK WITH NUMBERS - Add, subtract, multiply, or divide quickly and correctly      All employees of the City of Chicago must demonstrate commitment to and compliance with applicable  state and federal laws, and City ordinances and rules; the City’s Ethics standards; and other City  policies and procedures.  The City of Chicago will consider equivalent foreign degrees, accreditations,  and credentials in evaluating qualifications.     Page 2 of 3   CODE:  1602  CLASS TITLE: SENIOR LAND ACQUISITION/DISPOSITION OFFICER      * May be required at entry.      City of Chicago  Department of Human Resources  March, 2014      Page 3 of 3   
13775`https://www.cityofchicago.org/content/dam/city/depts/zlup/Historic_Preservation/Minutes/ccl_nov_09_minutes.pdf`Success`Failed`26`10`Not a fillable PDF.`
11179`https://www.cityofchicago.org/dam/city/depts/ethics/general/AO_GiftsTravel/87021.A.pdf`Success`Success`2`2`Not a fillable PDF.`
19136`https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2014constructionRpts/May/20140514_BaltimoreHouston_7wBALTIMOREHOUSTON86pt2.pdf`Success`Success`6`6`Not a fillable PDF.`"          D E P A R T M E N T   O F  W A T E R   M A N A G E M E N T       C I T Y   O F   C H I C A G O  CUSTOMER NOTICE INFRASTRUCTURE RENEWAL PROGRAM      May 14, 2014    Dear Neighbor,    In coordination with Mayor Rahm Emanuel’s, “Building a New Chicago” program and at  Alderman Holmes’ (7th Ward) request, I am providing you with information regarding a water  construction project in your neighborhood. This is part of our approach to renewing our city’s  aging infrastructure. I see this as an opportunity to partner with you our customers. As part of  this partnership, I want to be certain you are well informed about the project. You should know  where to call if you have any questions or concerns.     Our crews will soon be installing 1,890 feet of 8-inch water main in S. Baltimore Avenue, from  E. 86th Street to E. 87th Street, in S. Houston Avenue, from E. 86th Street to E. 87th Street, and in  E. 86th Street, from S. Commercial Avenue to S. Baltimore Avenue. The old pipe dates back to  1893, and needs to be replaced.      We are coordinating with Alderman Holmes’ office, and she has made clear we are to put great  importance on your convenience and the quality of life in this neighborhood through the whole  term of this project. Good communication is the key.     I have asked my staff to assemble the attached information for you and to monitor the project  closely. We know that construction always involves inconveniences and noise. We will do  everything possible to minimize inconvenience and noise and to conduct ourselves as good and  thoughtful neighbors in the course of our presence on your street.     If you have questions or comments about the project, please feel free to contact Assistant  Commissioner Tom LaPorte at 312-742-1029 at any time, you may leave a message.     I am also asking you to consider the enclosed information about our MeterSave Program and our  Basement Flooding Partnership (BFP).     Sincerely,   Thomas Powers  Commissioner     cc:   Alderman Natashia Holmes           7th Ward   1 0 0 0   E A S T   O H I O   S T R E E T ,   C H I C A G O ,   I L L I N O I S     6 0 6 1 1                   Do you wonder what was happening in 1893?  That’s the year the old water main was installed  beneath your street.  Among other things:                  MAE WEST        The World’s Columbian Exposition opened in Chicago.    Henry Perky and William Ford patented shredded wheat.    The first bowling magazine, which was called Gut Holz, was published.    France issued the first driver’s licenses, which included a required test.    Katharine Lee Bates wrote ""America the Beautiful,"" in Colorado.    Lizzie Borden was acquitted in the murder of her parents in New Bedford,   Massachusetts.     New Zealand became the first country to grant all its women the right to vote.    Actress Mae West was born.                      WATER PROJECT          PROJECT DESCRIPTION     Project:  The Department of Water Management will soon be installing 1,890 feet of 8-inch  water main in S. Baltimore Avenue, from E. 86th Street to E. 87th Street, in S. Houston Avenue,  from E. 86th Street to E. 87th Street, and in E. 86th Street, from S. Commercial Avenue to S.  Baltimore Avenue.    Reason:  The old main consists of 6-inch pipe, and we want to expand capacity. Further, the old  pipe dates back to 1893 and needs to be replaced.      Timing:  We will begin installing the new water main shortly, and expect the work to be  completed in July. Restoration will follow in August. Dates may change depending on weather  and other factors. If there is any appreciable change, we will notify you.    Traffic: We will allow traffic to flow outside of our working hours.  When we are working in  the street, we have to close it to traffic for reasons of safety. You will always be able to reach  your home or business, even if it means putting a metal plate in place.  Outside of working hours,  a lane will be left open for local traffic only.     Parking: We will post our work area for “No Parking” as needed, during work hours (7am- 4pm). We are agreeable to parking outside of those hours, but will have to insist that cars be  moved by the start of the next workday. We will try to preserve as much parking as we can.            CONTACT NUMBERS      24-HOUR SERVICE AND INFORMATION LINE      3-1-1      ALDERMAN NATASHIA HOLMES   773-731-7777      ASSISTANT WATER MANAGEMENT COMMISSIONER TOM LAPORTE          312-742-1029                   FREQUENTLY ASKED QUESTIONS        What if there is a problem?  There are always surprises in any construction project.  If you  have any concerns or questions, you can ask our foreman in the street.  You can also call  Assistant Commissioner Tom LaPorte directly at 312-742-1029.  His cell is on the voicemail  message, in case it’s off hours.    Can I park when you’re not working? We have no problem with you parking outside of our  working hours.  We have to insist that cars be out of our way at the start of the workday.     Will this ever end?  Yes.  As a matter of fact, the job is slated to conclude in July. Restoration  will be completed in August. We always hesitate to promise specific dates, since we are at the  mercy of other factors like weather and emergencies elsewhere in town.    Will you shut my water off? Yes, maybe a couple of times. When we switch over the services  from the old main to the new main, we interrupt service. We give you 24-hour notice when this  is to happen.  In any construction project, there is also a risk that an old pipe will break.  They  can be fragile. This may necessitate an emergency shutdown.  If we do this, we will let you know  what is happening, even though we may be unable to give prior warning.    Why should I be nice about this?  The crew working in the street will work hard to be good  neighbors, and to respect both your convenience and your quality-of-life.  By working together,  we can complete this important project as friends working for the improvement of our  community.    After your old water main has been replaced and you have been connected to your new water  main, please open all your water faucets and hose taps and flush your water for 3 to 5 minutes.  Sediment and metals can collect in the aerator screen located at the tip of your faucets. These  screens should be removed prior to flushing. This flushing will help maintain optimum water  quality by removing sediment, rust, or any lead particulates that may have come loose from your  property’s water service line as a result of the water main replacement. If you have any questions  or concerns about your water quality, please call us at 312-744-8190.               DOES YOUR BASEMENT FLOOD?     The Department of Water Management would like to work with you and your neighbors to  reduce the risk of basement flooding.  We are promoting a collective response as the only  strategy—homeowners joining together on a neighborhood basis to work with us on  practical steps (public and private) to protect your property and peace of mind.    Want to learn more?  http://www.cityofchicago.org/watermanagement/bfp                D E P A R T M E N T   O F  W A T E R   M A N A G E M E N T       C I T Y   O F   C H I C A G O  What is MeterSave?    MeterSave is a program to encourage Chicago homeowners to voluntarily install meters to  monitor water usage. Meters allow single family and two-flat homeowners to pay for only the  water actually used, encouraging efforts to save water and money while protecting one of our  most precious natural resources.    Water charges in non-metered homes are tied to factors such as building size, lot-size and  number of plumbing fixtures. Metered homes are billed according to actual use. This means that  with minimal effort, participating homeowners could save money on their water bills.      Homeowner Incentives   Non-metered homeowners participating in MeterSave are eligible for the following:    A 7-year guarantee that the home water bill will be no higher than it would have if the meter   had not been installed. Bill will not exceed the assessed rate for that year.     Choice of one of the following (while supplies last):   rain barrel,        water meter monitor (a refrigerator magnet that shows water usage)    outdoor water conservation kit or      And, two of the above incentives if a whole block volunteers!   indoor water conservation kit      Frequently Asked Questions:   How and when do I sign up?   Interested non-metered single family and two-flat homeowners may visit www.metersave.org,  call 311, or call 312-744-4H2O. Please have your 12-digit account number ready.  Space is  limited based on funding availability and the number of volunteers.     What will it cost to participate?  The City of Chicago Department of Water Management will install a water meter complete with  the automatic meter reading (AMR) technology in your home FREE of charge.      AMR technology allows readings to be transmitted via wireless radio technology to Water  Management vehicles as they drive by, eliminating the need for readings to take place inside the  home.  Bills will be issued bi-monthly and reflect only the actual amount of water used.     Do I have to be current on my water bill?  Yes.  Homeowners must be current on payment plan and water bill to participate in this limited  time offer of a 7-year guarantee.    For payment plan information call 312-744-4H20 (4426).      1 0 0 0   E A S T   O H I O   S T R E E T ,   C H I C A G O ,   I L L I N O I S     6 0 6 1 1             When can I have a meter installed?  Online meter installation scheduling is available at www.metersave.org  Otherwise, Water  Management will contact you to schedule a time for meter installation.      Small changes made by Chicagoans can have a tremendous impact on the sustainability of  our water supply, such as:     Turn off the faucet while brushing your teeth or shaving.  This can save over 500 gallons  per month per person.    Install high-efficiency, low-flow toilets.  Toilets alone consume 26% of household water  consumption.  A leaky toilet wastes 200 gallons of water per day.    Install high-efficiency washing machines. This can save energy and water consumption.    Fill the sink with dishwater instead of washing dishes with an open tap.  This saves 25  gallons per wash.    If you own a dishwasher, wait until you have a full load to run it.  Dishwashers typically  use half the energy, one-sixth the water, and less soap than washing dishes in the sink.    Garden with plants that are native to Chicago.  This can reduce outdoor water use by 20- 50%.    Use rain barrels to capture rainwater for watering lawns and gardens.    Use a timer or a rain sensor to monitor lawn irrigation: Sprinkler systems use thousands  of gallons of water per cycle.  Installing a timer or rain sensor will save money and water by  preventing needless watering.         WATER   Our Most Precious Resource   Lake Michigan has lost almost 32 trillion gallons of water--the equivalent of over 45 million  Olympic-sized swimming pools of water-- over the past decade. Our region could face severe  water shortages by 2050 if we fail to take decisive action.     More than half of water consumption in Chicago occurs within homes.      Over 5.4 million people-- 44% of the population of the State of Illinois, depend on the Chicago  Department of Water Management to provide a reliable supply of drinking water from Lake  Michigan.     Volunteer for a meter today to save water and money!        Please go to www.metersave.org     By phone call 3-1-1, or 312-744-4H2O.           Save Water Save Money!      "
22941`https://www.cityofchicago.org/content/dam/city/depts/zlup/Planning_and_Policy/Publications/Transit_Friendly_Development_Guide/CTA_Typology_Study.pdf`Success`Failed`18`10`Not a fillable PDF.`
27304`https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionapr242004/233.pdf`Success`Success`3`3`Not a fillable PDF.`
24858`https://www.cityofchicago.org/content/dam/city/depts/ethics/general/Disc-NR/2015/CampbellS-040315NR.pdf`Success`Success`1`1`Not a fillable PDF.`
18481`https://www.cityofchicago.org/content/dam/city/depts/bacp/Outreach%20and%20Education/consumerrecalls.pdf`Success`Success`1`1`Not a fillable PDF.`
26001`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/FINANCIAL-PLANNING-ANALYST_1439.pdf`Success`Success`4`4`Not a fillable PDF.`   Code:  1439  Family: Accounting and Finance  Service: Administrative   Group: Statistical, Technical, and Mercantile  Series: Planning         CLASS TITLE: FINANCIAL PLANNING ANALYST  CHARACTERISTICS OF THE CLASS      Under direction, performs financial planning and economic analyses for commercial, industrial, and  residential private development projects that require the use of public funds, and performs related  duties as required      ESSENTIAL DUTIES   •  Performs financial analysis of proposed development projects by reviewing applications and   evaluating the financial feasibility of projects, the amount of public funds required, and the  economic benefits to the public sector    •  Makes recommendations regarding the City's participation in private development projects to   stimulate investment in designated areas    •  Coordinates the processing of loans to businesses, working with business and bank   representatives to determine loan eligibility and negotiating the financial structure of loans    •  Manages the technical process of establishing a tax increment financing (TIF) redevelopment   area or district by ensuring the preparation of required consultant reports and by preparing  documents for use by advisory review boards    •  Negotiates redevelopment agreements detailing the terms of the project, including the financing   mechanism for the City's payment of eligible costs    •  Coordinates the implementation of redevelopment projects, overseeing the acquisition of land  parcels and the coordination of activities with other City agencies and with other projects within  a development district   •  Monitors activities of ongoing development projects by reviewing financial documents and   approving payments for eligible costs to ensure public funds are properly expended  •  Meets with community and local elected officials to explain and promote proposed   redevelopment projects in their communities and obtain their support    •  Represents the department at various public hearings, special task forces, or other committee   meetings to give presentations and explain and discuss financial planning and development  projects, as required   •  Coordinates with other sections of the department to conduct various reviews (e.g.,   architectural, construction, compliance) to ensure plans and activities are in accordance with the  City's plans and policies    NOTE:  The list of essential duties is not intended to be inclusive; there may be other duties that are   essential to particular positions within the class.        MINIMUM QUALIFICATIONS   Education, Training, and Experience  •  Graduation from an accredited college or university with a Bachelor's degree in Finance,   Business Administration, Accounting, or a directly related field, plus five years of experience in  financial analysis, or an equivalent combination of education, training and experience, provided  that the minimum degree requirement is met.   CODE:  1439  CLASS TITLE: FINANCIAL PLANNING ANALYST      Licensure, Certification, or Other Qualifications  •  None      WORKING CONDITIONS   •  General office environment      EQUIPMENT   •  Standard office equipment (e.g., telephone, printer, photocopier, fax machine, calculator)  •  Computers and peripheral equipment (e.g., personal computer, computer terminals, hand-held   computer, modems)      PHYSICAL REQUIREMENTS   •  No specific requirements      KNOWLEDGE, SKILLS, ABILITIES, AND OTHER WORK REQUIREMENTS   the bond market and processes involved in the issuance of municipal bonds   Knowledge  Advanced knowledge of:  •  •  generally accepted accounting principles, methods, practices, and procedures  •  •  applicable computer software packages (e.g., accounting software, financial software) and   *applicable financial analysis and management principles, methods, practices, and procedures   applications   *generally accepted fiscal policy principles, methods, practices, and procedures   loan lending, underwriting, and processing principles, methods, practices, and procedures   Considerable knowledge of:   •  •  business trends  Moderate knowledge of:  •  applicable federal, state, and local laws, regulations, and guidelines  •  Some knowledge of:  •  City tax ordinances and requirements  •  generally accepted auditing principles, methods, practices and procedures  •  grant administration policies, methods, practices, and procedures  •  budget preparation and management methods, practices, and procedures  Knowledge of applicable City and department ordinances, policies, procedures, rules, regulations,  and ordinances    Skills  •   •   *ACTIVE LEARNING - Understand the implications of new information for both current and  future problem-solving and decision-making  *ACTIVE LISTENING - Give full attention to what other people are saying, taking time to  understand the points being made, ask questions as appropriate, and not interrupt at  inappropriate times         Page 2 of 4   CODE:  1439  CLASS TITLE: FINANCIAL PLANNING ANALYST   •   •  •   •   *CRITICAL THINKING - Use logic and reasoning to identify the strengths and weaknesses of  alternative solutions, conclusions, or approaches to problems  *MATHEMATICS - Use mathematics to solve problems  *COMPLEX PROBLEM SOLVING - Identify complex problems and review related information to  develop and evaluate options and implement solutions  *MANAGEMENT OF FINANCIAL RESOURCES - Determine how money will be spent to get the  work done and account for these expenditures      •  NEGOTIATION - Bring others together and trying to reconcile differences  •   *JUDGMENT AND DECISION MAKING - Consider the relative costs and benefits of potential  actions to choose the most appropriate one   Abilities  •  COMPREHEND ORAL INFORMATION - Listen to and understand information and ideas   presented through spoken words and sentences   •  SPEAK - Communicate information and ideas in speaking so others will understand  •  COMPREHEND WRITTEN INFORMATION - Read and understand information and ideas   presented in writing   •  WRITE - Communicate information and ideas in writing so others will understand  •  REASON TO SOLVE PROBLEMS - Apply general rules to specific problems to produce   answers that make sense   •  REASON MATHEMATICALLY - Choose the right mathematical methods or formulas to solve a   problem   •  COME UP WITH IDEAS - Come up with a number of ideas about a topic   •  MAKE SENSE OF INFORMATION - Quickly make sense of, combine, and organize information   into meaningful patterns   •  COMPARE AND RECOGNIZE DIFFERENCES - Quickly and accurately compare similarities   and differences among sets of letters, numbers, objects, pictures, or patterns (includes  comparing a presented object with a remembered object)   •  ORGANIZE INFORMATION - Arrange things or actions in a certain order or pattern according   to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical  operations)   •  REACH CONCLUSIONS - Combine pieces of information to form general rules or conclusions   (includes finding a relationship among seemingly unrelated events)         INITIATIVE - Demonstrate willingness to take on job challenges   Other Work Requirements  •  •  LEADERSHIP - Demonstrate willingness to lead, take charge, and offer opinions and direction  •  DEPENDABILITY - Demonstrate reliability, responsibility, and dependability and fulfill   obligations   •  ATTENTION TO DETAIL - Pay careful attention to detail and thoroughness in completing work   tasks  INDEPENDENCE - Develop own ways of doing things, guide oneself with little or no  supervision, and depend mainly on oneself to get things done   •      Page 3 of 4   CODE:  1439  CLASS TITLE: FINANCIAL PLANNING ANALYST   •  ANALYTICAL THINKING - Analyze information and using logic to address work or job issues   and problems         All employees of the City of Chicago must demonstrate commitment to and compliance with applicable  state and federal laws, and City ordinances and rules; the City’s Ethics standards; and other City  policies and procedures.  The City of Chicago will consider equivalent foreign degrees, accreditations, and credentials in  evaluating qualifications.  * May be required at entry.            City of Chicago  Department of Human Resources   (Valtera Corporation)   Date:  June, 2010      Page 4 of 4   
