pdf_id,dept,from_url,pdf_url
16027,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2011.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/11reports/T_043_StockyardsAnnexAR11.pdf
17249,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2017_water_sewer_main_projects/February2017.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2017construction/feb_2017/20170220_Damen_Wilson_47w.pdf
3769,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2003_january_bidtabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2003BidTabs/Jan/1296RFQ112.1.21.03.pdf
1896,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2000_august_bid_tabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2000BidTabs/Aug/PU91320001.8.4.00.pdf
8372,Office of Budget and Management,https://www.cityofchicago.org/city/en/depts/obm/supp_info/annual-budget-recommendations---documents/2013BudgetHearingOpeningStatements.html,https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/2013%20Budget/2013BudgetHearingOpeningStatements/MOPD_OpeningStatements2013.pdf
9997,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/administrative_services0600.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/Administrative/0600_Information_Technology_Series/0604_SENIOR_SYSTEMS_PROGRAMMER.pdf
17474,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/supp_info/revenue/tax_list/ground_transportationtax.html,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxSupportingInformation/January_2002_Info_Bulletin_Ground_Trans.pdf
10067,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/administrative_services0700.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/Administrative/0700_Public_Information_Series/0790_Public%20Relations%20Coord.pdf
24114,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/zoning_board_of_appeals.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Agendas/ZBA_September_2014_Minutes.pdf
15580,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2009.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/09reports/T_007_73rdKedzieAR09.pdf
17407,Department of Public Health,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/get-the-facts--extreme-cold-and-or-winter-storms.html,https://www.cityofchicago.org/content/dam/city/depts/cdph/emergency_preparedness/ColdWeatherFactSheet_French.pdf
8009,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2012_water_and_sewermainprojects.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2012cnstRpts/sept/20120911_Hamlin_26w.pdf
12841,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/plans_of_operation.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/planofoperation1701w79thst.pdf
6791,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2009_prebid_conferenceattendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2009PreBids/PreBid72350.pdf
4485,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2004_november_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2004JOC/2004_NovemberJOC/T26477R73.pdf
5178,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/supp_info/comprehensive_annualfinancialstatements/2006_financial_statements.html,https://www.cityofchicago.org/dam/city/depts/fin/supp_info/CAFR/2006/Sewer2006.pdf
15501,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2008.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/08reports/T_077_LincolnAvenueAR.pdf
8983,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2015PreBidandPreSubmittalConferenceAttendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2015PreBids/PreBid133735_133738_133739_133744.pdf
19907,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2014-water-and-sewer-main-projects/november2014.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2014constructionRpts/November/20141104_Stewart_06w.pdf
16774,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/2016TIFAnnualReports.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/16reports/T_037_RiverSouthAR16.pdf
12325,Department of Animal Care and Control,https://www.cityofchicago.org/city/en/depts/cacc/supp_info/cacc_data_statistics.html,https://www.cityofchicago.org/content/dam/city/depts/cacc/PDFiles/november_2016.pdf
6128,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2008_august_job_ordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2008JOC/2008_AugustJOC/15878_6.pdf
17093,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2014-water-and-sewer-main-projects/february2014.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2014constructionRpts/February/20140206_Wentworth_21w.pdf
1138,Department of Streets and Sanitation,https://www.cityofchicago.org/city/en/depts/streets/provdrs/streets_san/svcs/street_sweeping.html,https://www.cityofchicago.org/content/dam/city/depts/streets/supp_info/2017StreetSweepingSchedules/50th.pdf
8833,Office of Budget and Management,https://www.cityofchicago.org/city/en/depts/obm/supp_info/annual-budget-recommendations---documents/2015-budget-hearing-opening-statements.html,https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/2015Budget/Budget_Hearing_Statements_MBE_WBE_Org/038_Statement_MBE_WBE_Org_2015.pdf
1507,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/provdrs/centralized_invoiceprocessing.html,https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/CIP/ContractsInScopeforCIP.pdf
15162,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2007.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/07reports/T_106_EnglewoodAR07.pdf
4728,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2005_emergency_authorizations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/Emergency/2005Emergencies/August/8092005Concrete.pdf
4862,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2005_may_job_ordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_MayJOC/T26463R219.pdf
15160,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2007.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/07reports/T_153_ElstonArmstrongAR07.pdf
17606,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/health_welfare_services3000.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/HealthWelfare/3000_Human_Relations_Series/3047_Senior%20Companion.pdf
13166,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/plans_of_operation.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/planofoperation1750nclark.pdf
4798,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2005_january_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_JanuaryJOC/T26463R218.pdf
4466,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2004_november_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2004JOC/2004_NovemberJOC/6072R26NOV.pdf
2445,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2002_september_bidtabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2000BidTabs/Sep/C031000003.9.12.00.pdf
22665,Department of Buildings,https://www.cityofchicago.org/city/en/depts/bldgs/supp_info/committee_on_standardsandtests.html,https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/AlternativeCodeApproval/STDecisionsFebruary2017.pdf
25210,Department of Transportation,https://www.cityofchicago.org/city/en/depts/cdot/provdrs/construction_information/svcs/commercial_refusecontainerpermits.html,https://www.cityofchicago.org/content/dam/city/depts/cdot/general/CRC_location_spreadsheet_instructions.pdf
7097,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2010_prebid_conferenceattendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2010PreBids/PreBid76229.pdf
6401,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2008_november_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2008JOC/2008_NovemberJOC/9910_56.pdf
15857,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district_annual_reports2010.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/10reports/T_068_RooseveltUnionAR10.pdf
4208,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2007_emergency_authorizations0.html,https://www.cityofchicago.org/content/dam/city/depts/dps/Emergency/2004Emergencies/March/031104waterInvensys.pdf
22885,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/medallion_owner_information.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/publicvehicleinfo/medallionowners/newtaxilaws07242014.pdf
7145,Commission on Human Relations,https://www.cityofchicago.org/city/en/depts/cchr/supp_info/2010_rulings.html,https://www.cityofchicago.org/content/dam/city/depts/cchr/DataPortalDocs/08P068Feb172010.pdf
14035,Department of Innovation and Technology,https://www.cityofchicago.org/city/en/depts/doit/supp_info/community_maps.html,https://www.cityofchicago.org/content/dam/city/depts/doit/general/GIS/Chicago_Maps/Community_Areas/CA_WEST_LAWN.pdf
